ID,Building,Current Rating,Total m�,kgCO2 indicator,Heating kWh/m�/yr,Electricity kWh/m�/yr,Typical Building kWh/m�/yr,Next Rating Indicator,Valid Until,SEAI Number,Previous Rating
935,Civic Offices,E1,40862,100.91,83.13,201.44,284.38,100,46173,801080581,E1
17,Tara Street Fire Station,E1,5571,103.99,216.44,290.15,494.7,100,46173,801077629,D2
1198,Ballymun Leisure Centre,C2,4508,58.55,664.87,175.22,1420.81,58.5,46173,801077801,C2
1200,Ballyfermot Leisure Centre,C1,4429,50.98,495.31,105.45,1168.81,50,46173,801078288,C1
16,O'Brien Institute,F,3666,126.24,276.03,263.7,429.73,125,46173,801077637,E1
736,Pearse Street Library,C1,3535,53.11,92.68,149.4,460.61,50,46173,801077793,C1
1197,Finglas Leisure Centre,D1,2690,77.02,847.58,297.73,1482.83,75,46173,801077819,D1
1406,Poppintree Community Sports Centre,C1,2513,57.32,151.9,105.27,450.45,50,46173,801078759,C1
1195,Cabra Parkside Sports Centre,B2,2256,34.14,72.38,116.62,563.07,33.5,46173,801077843,B2
850,City Hall,D1,2051,77,149.29,140.97,377.21,75,46173,801078304,D1
735,Central Library,D2,2013,96.29,177.34,259.07,457.18,87.5,46173,801077850,D2
1097,St Catherine's Sports Centre,D2,1925,87.74,367.6,85.31,509.94,87.5,46173,801077918,E1
740,Cabra Library,C1,1860,58.25,119.19,132.94,432.41,50,46173,801078007,C2
656,Inchicore Sports Centre,A3,1669,24.59,97.58,60.09,641.6,17,46173,801078015,A3
1495,Clogher Road Community and Sports Centre,C3,1497,68.67,139.53,78.11,316.62,67,46173,801078049,C2
1205,Ballybough Community and Sports Centre,C2,1495,61.97,154.62,158.46,509.54,58.5,46173,801078031,C1
1196,Irishtown Sports and Fitness,B3,1482,44.6,166.6,106.98,613.14,42,46173,801078296,C1
1170,Markievicz Leisure Centre,E1,1421,111.46,799.65,484.43,1157.49,100,46173,801078056,E1
15,Phibsboro Fire Station,E1,1354,104.12,326.17,267.57,577.52,100,46173,801078064,D1
13,North Strand Fire Station,D1,1100,86.91,239.32,254.25,577.52,75,46173,�801078072,D1
1175,Aughrim Street Sports Centre,C2,1008,59.02,120.12,28.39,249.32,58.5,46173,801078098,C3
1181,St Laurence O'Toole Recreation Centre,C1,1001.5,53.45,115.24,53.53,314.6,50,46173,801078742,C2
448,Swan Leisure,C3,3488.5,70.47,840.14,167.64,1411.78,67,46173,801082819,
20,Dolphin's Barn Fire Station,E2,989,116.89,395.52,272.83,577.52,112.5,46173,801078106,E1
22,Blanchardstown Fire Station,D1,989,78.68,291.04,160.33,577.52,75,46173,801078114,D1
18,Donnybrook Fire Station,C3,946,72.12,356.66,62.63,577.52,67,46173,801078122,C3
28,Finglas Fire Station,C2,908,65.42,134.94,233.82,577.52,58.5,46173,801078148,C2
861,Tallaght Fire Station,E2,880,124.71,409.32,302.94,577.52,112.5,46173,801078155,E2
29,Kilbarrack Fire Station,D1,852,77.15,283.76,157.9,576.02,75,46173,801078163,D1
738,Ballymun Library,C1,830.94,52.42,102.65,85.55,359.5,50,46173,801078171,C1
21,Rathfarnham Fire Station,D1,804,83.51,240.71,234.19,577.52,75,46173,801078197,C3
1174,Coolock Swimming Pool,D1,782,84.87,1092.73,403.72,1761.06,75,46173,801078270,D1
1173,Crumlin Swimming Pool,C3,723,70.98,850.76,396.9,1761.06,67,46173,801078262,C2
897,Central Area Office,C3,678,68.72,101.61,116.6,316.44,67,46173,801078221,C3
27,Swords Fire Station,D2,670,100.01,268.16,299.34,577.52,87.5,46173,801078239,E2
746,Dolphin's Barn Library,D1,546,78.19,148.21,137.28,367.1,75,46173,801078676,D1
753,Donaghmede Library,C1,470,56.37,121.81,81.34,374.14,50,46173,801078700,C2
756,Raheny Library,C3,442,74.16,137.96,149.82,389.91,67,46173,801078718,D1
743,Charleville Library,D2,423.5,97.26,286.24,75.14,367.1,87.5,46173,801078320,C1
752,Pembroke Library,D2,342,90.6,123.47,207.23,370.33,87.5,46173,801078684,D1
1201,Dublin Municipal Rowing Centre,D1,326,78.5,280.82,180.53,588.88,75,46173,801078734,C2
1112,Pearse Area Recreational Centre,F,259,137.06,278.75,141.27,305.78,125,46173,801078726,E1
